"gender","fav_number","retweet_count","tweet_count","diff_prof_twt","tweets_per_day","gender_confidence","profile_yn_confidence","sidebar_color_cat","link_color_cat","score_vocab_brand","score_vocab_male","score_vocab_female","score_vocabio_brand","score_vocabio_male","score_vocabio_female"
"brand",7,0,99792,118.766865079365,55,1,1,"indeterminado","cyan",0,0,0,21.1727666273121,4.01505646173149,0
"brand",2088,0,6198,367.133134920635,2,1,1,"red","blue",1.58814187400741,4.38129070455891,0,0,0,0
"brand",0,0,32600,231.73998015873,13,1,1,"cyan","cyan",0,0,0,0,0,0
"brand",0,0,67427,27.5156746031746,58,1,1,"cyan","cyan",121.298747132522,0,0,0,0,0
"female",158,0,8041,105.859722222222,5,0.6652,1,"cyan","cyan",0,0,0,4.64384100747737,13.4671685487244,17.2906213817059
"brand",2922,0,4941,264.772817460318,2,1,1,"red","cyan",0,0,0,0,0,0
"brand",2511,0,3149,186.856646825397,1,1,1,"red","indeterminado",0,0,0,5.23415977961433,7.90464240903388,5.21034349671941
"brand",0,0,2702,193.99494047619,1,1,1,"cyan","cyan",0,0,0,0,0,0
"male",795,0,4522,109.453273809524,3,0.3498,1,"indeterminado","blue",0,0,0,0,0,0
"brand",0,0,39723,70.4380952380953,27,0.6887,1,"cyan","cyan",121.298747132522,0,0,0,0,0
"brand",83,0,383,59.0167658730159,0,1,1,"indeterminado","red",1.34109758249515,6.69034931912374,0,0,6.8172312839816,0
"brand",0,0,117153,73.4100198412699,78,0.6778,1,"cyan","cyan",0,0,0,0,0,0
"female",1741,0,6976,172.584325396825,3,1,1,"cyan","cyan",0,0,5.30050083472454,4.32900432900433,9.91217063989962,17.3678116557314
"female",1186,0,12339,346.277579365079,4,1,1,"indeterminado","cyan",0,6.63114268798105,5.09181969949917,0,0,0
"brand",0,0,43988,68.4159722222222,30,0.6619,1,"cyan","cyan",121.298747132522,0,0,0,0,0
"brand",0,0,30490,165.01875,14,1,1,"cyan","cyan",0,0,0,0,0,0
"female",4047,1,13847,256.1125,5,1,1,"green","cyan",1.87047820716428,10.5979869745411,12.1035058430718,0,0,0
"brand",0,0,37386,82.1878968253968,24,1,1,"cyan","cyan",121.298747132522,0,0,0,0,0
"male",4940,0,51167,98.85,31,1,1,"cyan","cyan",0,0,0,0,0,0
"female",2190,0,27611,207.42251984127,11,1,1,"red","red",0,0,0,0,0,0
"brand",8,0,41387,5.52400793650794,41,1,1,"cyan","cyan",1.23522145756132,0,3.83973288814691,0,0,0
"female",6929,0,7393,34.8643849206349,6,1,1,"cyan","cyan",2.27633668607729,11.959739490823,17.4040066777963,0,4.01505646173149,0
"female",4662,0,9548,218.579563492064,4,1,1,"cyan","cyan",0,0,0,0,0,0
"male",939,0,49547,293.368452380952,16,1,1,"cyan","cyan",0,6.63114268798105,5.09181969949917,4.32900432900433,9.91217063989962,17.3678116557314
"female",1051,0,405,32.4066468253968,0,1,1,"cyan","cyan",0,0,0,0,0,0
"female",4465,0,63944,286.284027777778,21,1,1,"red","red",0,0,0,0,0,0
"brand",348,0,1027,318.171924603175,0,1,1,"red","red",1.21757543673902,0,0,0,0,0
"male",2612,0,11737,216.279166666667,5,0.6595,1,"red","cyan",0,0,0,5.23415977961433,7.90464240903388,5.21034349671941
"male",901,0,1149,37.0566468253968,1,0.6754,1,"cyan","cyan",0,0,3.67278797996661,4.64384100747737,13.4671685487244,17.2906213817059
"male",183,0,2916,169.441071428571,1,0.3522,1,"red","red",0,0,0,0,0,0
"brand",850,0,4097,321.892361111111,1,1,1,"red","cyan",0,0,0,9.79929161747343,4.89335006273526,4.36125048243921
"male",1266,0,28996,227.717063492064,11,1,1,"red","indeterminado",0,0,0,0,0,0
"female",200,0,49346,344.134623015873,15,0.6861,1,"red","red",1.69401799894124,5.09177027827117,0,5.23415977961433,7.90464240903388,5.21034349671941
"male",9465,0,23073,132.622817460317,12,0.6472,1,"indeterminado","magenta",0,0,0,21.1727666273121,0,0
"male",6937,0,24433,51.0672619047619,18,1,1,"yellow","indeterminado",0,0,0,0,0,0
"brand",1134,0,4216,201.179662698413,2,0.6628,1,"indeterminado","green",0,3.73001776198934,0,12.8689492325856,0,0
"female",41,0,2376,62.9914682539683,2,1,1,"indeterminado","red",0,0,0,0,0,0
"brand",0,0,7802,2.73730158730159,8,1,1,"cyan","cyan",0,0,0,0,0,0
"brand",244,1,1475,65.6119047619048,1,1,1,"red","red",0,0,0,14.4037780401417,0,0
"female",10636,0,31378,228.713095238095,12,1,1,"indeterminado","cyan",0,0,0,0,0,0
"female",4766,0,26875,219.247817460317,11,1,1,"yellow","red",0,0,0,0,0,0
"male",770,0,126688,291.04375,42,1,1,"red","green",1.57049585318511,11.4860864416815,10.2253756260434,4.32900432900433,9.91217063989962,17.3678116557314
"brand",0,0,2,2.41378968253968,0,0.6707,1,"cyan","cyan",1.69401799894124,0,0,0,0,0
"male",3394,0,5415,64.2175595238095,4,0.6498,1,"cyan","cyan",0,0,0,0,0,0
"brand",322,0,12531,87.5393849206349,8,1,1,"cyan","cyan",0,0,0,0,0,0
"female",69,0,1006,218.876190476191,0,1,1,"cyan","cyan",1.69401799894124,0,0,0,0,0
"brand",0,0,22251,120.926884920635,12,0.6266,1,"yellow","cyan",0,0,0,0,0,0
"brand",0,0,58096,64.4239087301587,41,0.6808,1,"cyan","cyan",121.298747132522,0,0,0,0,0
"brand",0,0,126354,12.7743055555556,118,0.6744,1,"cyan","cyan",0,0,0,0,0,0
"brand",18,0,1476,259.744246031746,1,1,1,"red","red",0,0,0,4.2896497441952,4.18235048097031,0
"brand",0,0,63395,64.4248015873016,44,0.6986,1,"cyan","cyan",121.298747132522,0,0,0,0,0
"male",52622,0,43273,200.717757936508,18,0.6617,1,"red","orange",0,0,0,0,0,0
"brand",5395,0,10566,255.141170634921,4,0.6846,1,"cyan","cyan",0,0,0,0,0,0
"brand",1,0,7472,313.774801587302,2,0.6684,1,"cyan","cyan",0,0,0,0,0,0
"brand",86,0,189841,84.7500992063492,121,1,1,"red","blue",0,0,0,0,0,0
"female",1473,1,19136,42.7063492063492,15,1,1,"cyan","cyan",1.57049585318511,11.4860864416815,10.2253756260434,0,0,0
"brand",0,0,74970,61.7929563492064,53,0.6748,1,"cyan","cyan",121.298747132522,0,0,0,0,0
"brand",1,0,6984,339.964087301587,2,1,1,"green","cyan",2.45279689430034,12.2557726465364,13.1051752921536,6.80834317197954,0,0
"female",3048,0,1398,212.710119047619,1,1,1,"red","red",0,0,0,0,0,0
"brand",104,0,195,78.4858134920635,0,1,1,"red","cyan",1.58814187400741,4.38129070455891,0,0,0,0
"brand",4185,0,16222,88.9240079365079,10,1,1,"indeterminado","indeterminado",0,0,0,35.5765446674538,0,0
"female",366,0,8118,338.131944444445,2,0.6631,1,"indeterminado","indeterminado",0,0,0,0,0,0
"brand",69,0,187,12.4009920634921,0,1,1,"indeterminado","green",3.4586200811717,14.9792776791001,12.1035058430718,0,0,0
"brand",0,0,31256,28.0780753968254,27,1,1,"cyan","cyan",121.298747132522,0,0,0,0,0
"female",7286,0,9683,178.554265873016,4,1,1,"red","red",0,0,0,0,0,0
"female",619,0,44900,342.262400793651,13,1,1,"magenta","magenta",0,0,0,5.23415977961433,7.90464240903388,10.9996140486299
"brand",658,0,31641,228.602281746032,12,0.649,1,"indeterminado","cyan",0,0,0,0,0,0
"brand",186,0,945,18.4377976190476,1,1,1,"cyan","cyan",0,0,0,0,0,0
"female",33752,0,39851,100.199503968254,24,1,1,"red","cyan",0,0,0,0,0,0
"female",1181,0,21165,245.414186507937,8,1,1,"indeterminado","blue",0,0,0,0,0,0
"female",1094,0,9459,312.998015873016,3,1,1,"cyan","cyan",0,0,0,0,0,0
"male",2105,0,22628,353.723115079365,7,0.667,1,"red","cyan",0,0,0,21.1727666273121,0,0
"male",1,0,338,90.4684523809524,0,1,1,"cyan","cyan",0,0,0,0,0,0
"brand",0,0,31257,18.4617063492064,28,0.6475,1,"cyan","cyan",121.298747132522,0,0,0,0,0
"brand",3,0,4717,185.835119047619,2,0.6993,1,"red","cyan",0,0,0,0,0,0
"brand",0,0,12043,350.117162698413,4,1,1,"cyan","magenta",0,0,0,0,4.55876202425763,4.245465071401
"female",1298,0,24404,35.6647817460317,20,1,1,"cyan","cyan",0,0,0,0,0,5.78927055191046
"female",0,0,6117,142.271726190476,3,0.6394,1,"magenta","magenta",1.28815952002823,3.90763765541741,0,0,0,0
"male",3136,0,174285,349.806845238095,51,1,1,"cyan","red",0,0,0,0,0,0
"female",19749,0,48419,186.98878968254,21,1,1,"yellow","magenta",0,0,0,0,0,0
"brand",0,0,43675,62.0351190476191,31,1,1,"cyan","cyan",121.298747132522,0,0,0,0,0
"male",56,0,38000,276.705456349206,13,1,1,"cyan","red",1.34109758249515,6.69034931912374,0,5.43093270365998,0,0
"female",6482,0,90079,160.710317460317,43,1,1,"red","blue",2.27633668607729,11.959739490823,17.4040066777963,8.65800865800866,19.8243412797993,34.7356233114628
"female",118,0,666,331.340674603175,0,0.6689,1,"indeterminado","cyan",0,0,0,4.64384100747737,13.4671685487244,17.2906213817059
"brand",11,0,52561,336.31001984127,16,1,1,"indeterminado","indeterminado",0,0,0,35.5765446674538,0,0
"female",1499,0,24483,227.250198412698,10,1,1,"red","magenta",0,0,5.30050083472454,0,0,0
"female",3018,0,4519,172.824603174603,2,1,1,"red","yellow",1.87047820716428,10.5979869745411,12.1035058430718,4.64384100747737,13.4671685487244,17.2906213817059
"brand",0,0,42318,61.6891865079365,30,1,1,"cyan","cyan",121.298747132522,0,0,0,0,0
"female",1478,0,712,65.7334325396825,0,1,1,"indeterminado","red",0,0,3.67278797996661,4.32900432900433,9.91217063989962,17.3678116557314
"male",995,0,8702,345.682341269841,3,1,1,"cyan","red",1.87047820716428,10.5979869745411,12.1035058430718,0,10.3722291928064,11.0768043226553
"brand",25,0,151386,8.99007936507937,145,1,1,"indeterminado","cyan",20.628198341274,0,0,0,0,0
"brand",133,0,10315,297.550198412698,3,1,1,"red","cyan",1.57049585318511,11.4860864416815,10.2253756260434,0,0,0
"female",2515,0,4667,184.990376984127,2,1,1,"red","magenta",0,0,0,0,0,0
"female",4428,0,4246,115.658630952381,2,0.6819,0.6819,"indeterminado","blue",0,0,4.17362270450751,0,0,0
"male",7966,0,7721,53.3421626984127,6,1,1,"cyan","cyan",0,0,0,0,0,0
"female",2969,0,11292,198.53998015873,5,1,1,"magenta","red",0,0,0,0,0,0
"female",4268,0,6491,242.554067460318,2,1,1,"red","magenta",0,0,0,0,0,0
"brand",59,0,551,178.750595238095,0,1,1,"red","red",0,0,0,0,0,0
"male",214,0,269,340.654265873016,0,1,1,"cyan","cyan",2.45279689430034,12.2557726465364,13.1051752921536,0,0,0
"female",2,0,1,0.41656746031746,0,1,1,"cyan","cyan",0,0,0,0,0,0
"brand",44,0,2760,314.713392857143,1,1,1,"indeterminado","violet",0,0,0,12.0425029515939,7.90464240903388,12.3890389810884
"male",271,0,97899,299.567757936508,32,1,1,"cyan","cyan",0,0,0,0,0,0
"brand",7215,0,56784,254.870337301587,21,0.6805,1,"red","indeterminado",0,0,0,0,0,0
"female",396,0,306,113.131150793651,0,1,1,"cyan","cyan",0,4.14446417998816,3.75626043405676,0,0,4.32265534542648
"female",582,0,2133,235.610317460317,1,1,1,"indeterminado","blue",0,0,0,4.2896497441952,4.18235048097031,0
"brand",332,0,2244,228.082440476191,1,1,1,"green","cyan",2.45279689430034,12.2557726465364,13.1051752921536,0,0,0
"female",24,0,10,0.0131944444444444,0,1,1,"cyan","cyan",0,0,0,0,0,0
"female",18694,0,20114,144.530158730159,10,1,1,"red","indeterminado",0,0,0,0,0,0
"female",345,0,396,153.254265873016,0,1,1,"red","magenta",0,0,0,0,0,0
"female",17870,0,30697,176.245436507937,14,0.6635,1,"red","violet",0,0,0,0,0,0
"female",0,0,2396,197.087797619048,1,1,1,"cyan","cyan",0,5.09177027827117,0,0,0,4.32265534542648
"male",0,0,37140,4.89117063492064,37,1,1,"cyan","cyan",1.23522145756132,0,3.83973288814691,0,0,0
"brand",4065,0,3826,173.284722222222,2,1,1,"cyan","cyan",0,0,0,4.32900432900433,9.91217063989962,17.3678116557314
"brand",0,0,63182,74.4574404761905,42,1,1,"cyan","cyan",121.298747132522,0,0,0,0,0
"female",0,0,17739,5.44047619047619,17,1,1,"cyan","cyan",1.23522145756132,0,3.83973288814691,0,0,0
"male",0,0,32011,133.010317460317,17,1,1,"indeterminado","red",1.87047820716428,10.5979869745411,12.1035058430718,0,0,0
"male",51,0,557,24.4507936507937,0,1,1,"red","indeterminado",0,0,0,0,0,0
"brand",0,0,6662,6.96001984126984,6,0.6794,1,"indeterminado","indeterminado",0,0,0,0,0,0
"female",3505,0,23940,218.86498015873,10,1,1,"red","blue",0,0,0,0,0,0
"male",188,0,1072,143.330555555556,1,1,1,"cyan","cyan",0,0,0,0,0,0
"female",16,0,179,169.393948412698,0,0.6705,1,"indeterminado","cyan",1.58814187400741,4.38129070455891,0,0,10.3722291928064,11.0768043226553
"female",2861,0,8439,226.729464285714,3,1,1,"cyan","cyan",0,0,0,0,0,0
"male",119,0,5703,149.611607142857,3,0.6671,0.6671,"red","blue",1.87047820716428,10.5979869745411,12.1035058430718,9.79929161747343,4.89335006273526,4.36125048243921
"female",9559,0,7156,210.966170634921,3,1,1,"cyan","red",2.45279689430034,17.5843694493783,26.5025041736227,0,0,0
"male",256,1,1791,56.4337301587302,1,1,1,"cyan","cyan",0,0,0,0,0,0
"female",2889,0,4239,49.3189484126984,3,1,1,"cyan","cyan",0,0,0,0,0,0
"female",1,0,28,16.2642857142857,0,0.6823,1,"indeterminado","red",0,0,0,0,0,0
"brand",1,0,1900,315.147023809524,1,1,1,"yellow","magenta",0,0,4.17362270450751,0,0,0
"brand",0,0,5,0.22281746031746,0,1,1,"indeterminado","blue",0,0,0,0,0,0
"brand",7,0,234,49.5982142857143,0,1,1,"cyan","cyan",0,0,0,10.0747737111373,13.4671685487244,17.2906213817059
"brand",24,0,13011,338.600198412698,4,1,1,"red","red",0,0,0,0,0,0
"female",6443,1,22658,96.9617063492064,14,1,1,"indeterminado","cyan",0,0,0,0,0,0
"female",263,0,429,30.2821428571429,0,0.6765,1,"indeterminado","red",0,5.32859680284192,5.71786310517529,0,4.01505646173149,0
"brand",0,0,42575,69.184623015873,29,0.6718,1,"cyan","cyan",121.298747132522,0,0,0,0,0
"female",1280,0,14521,70.9468253968254,10,1,1,"cyan","cyan",0,3.73001776198934,0,0,0,0
"brand",18,0,556,48.2873015873016,0,0.6715,1,"cyan","cyan",0,0,0,0,0,0
"female",1114,0,76375,255.128571428571,28,1,1,"cyan","cyan",0,0,0,4.64384100747737,13.4671685487244,17.2906213817059
"brand",9,0,10081,140.473313492064,5,1,1,"red","red",0,0,0,11.7276662731208,0,0
"male",1430,0,2218,121.335714285714,1,1,1,"cyan","cyan",0,0,0,0,0,0
"male",0,0,2,0.744146825396825,0,1,1,"cyan","cyan",0,0,0,0,0,0
"male",14441,0,122792,197.71378968254,52,1,1,"red","indeterminado",2.27633668607729,17.4067495559503,21.661101836394,0,0,0
"male",2,0,151733,362.301190476191,43,1,1,"red","indeterminado",0,0,0,9.79929161747343,4.89335006273526,4.36125048243921
"brand",153,0,4189,118.891765873016,2,1,1,"indeterminado","red",0,0,0,5.47028728846911,0,0
"female",1731,0,1219,274.712400793651,0,1,1,"cyan","magenta",0,0,5.30050083472454,0,0,0
"female",25,0,67,39.9997023809524,0,1,1,"indeterminado","cyan",0,0,0,0,0,0
"female",16,0,62,32.3974206349206,0,1,1,"cyan","cyan",0,0,0,0,0,0
"male",2802,0,13517,232.125694444444,5,1,1,"red","orange",0,0,0,0,3.88958594730238,3.8209185642609
"male",1,0,38,3.45863095238095,0,0.6995,1,"cyan","cyan",0,0,0,0,0,0
"female",255,0,804,256.925297619048,0,1,1,"red","indeterminado",0,0,0,4.2896497441952,4.18235048097031,0
"female",3582,0,11253,172.242658730159,5,0.6711,1,"red","cyan",0,0,0,0,0,0
"male",4,0,39655,223.434027777778,16,1,1,"cyan","cyan",0,0,0,10.4683195592286,15.8092848180678,10.4206869934388
"brand",1003,0,12681,362.513690476191,4,1,1,"red","indeterminado",0,0,0,29.594647776466,4.18235048097031,0
"female",634,0,9091,247.002976190476,3,1,1,"yellow","indeterminado",0,0,3.38063439065109,0,0,0
"male",2569,0,4501,293.129464285714,1,1,1,"cyan","red",0,0,0,0,6.06440819740694,5.4033191817831
"brand",2281,0,43438,124.646825396825,23,1,1,"indeterminado","red",0,0,0,0,0,0
"male",139,0,6541,19.7931547619048,6,0.339,1,"indeterminado","cyan",0,0,0,0,0,0
"brand",0,0,5804,100.980654761905,3,1,1,"cyan","cyan",1.21757543673902,0,0,0,0,0
"brand",0,0,42573,70.8802579365079,29,0.6742,1,"cyan","cyan",121.298747132522,0,0,0,0,0
"female",3,0,202,231.762400793651,0,1,1,"indeterminado","cyan",0,0,0,0,0,0
"male",67,0,1408,256.671329365079,1,1,1,"indeterminado","cyan",0,5.44701006512729,4.25709515859766,0,0,0
"male",13928,0,35059,304.022123015873,11,0.6746,1,"red","cyan",0,0,0,0,0,0
"brand",80,0,9450,32.5472222222222,8,1,1,"cyan","orange",0,0,0,6.80834317197954,11.3759933082392,4.09108452335006
"brand",29,0,76,5.54404761904762,0,1,1,"indeterminado","green",0,0,0,0,0,0
"male",150,0,3008,108.726091269841,2,1,1,"cyan","cyan",2.45279689430034,12.2557726465364,13.1051752921536,0,0,0
"female",4511,0,16129,22.6074404761905,14,1,1,"cyan","cyan",0,0,3.67278797996661,0,0,0
"male",6680,0,5619,93.4169642857143,3,1,1,"cyan","cyan",0,0,0,0,0,0
"male",2173,0,28036,206.401884920635,12,1,1,"cyan","cyan",1.57049585318511,11.4860864416815,10.2253756260434,0,18.1932245922208,4.09108452335006
"male",776,0,47828,335.328869047619,14,1,1,"red","blue",0,0,0,0,0,0
"male",199,0,10650,353.011408730159,3,1,1,"green","cyan",0,0,0,0,0,0
"brand",415,0,671,25.647123015873,1,1,1,"cyan","cyan",1.69401799894124,0,0,0,0,0
"brand",72,0,3004,330.466170634921,1,1,1,"indeterminado","blue",0,0,0,0,0,0
"female",9837,0,22881,232.3375,9,0.6556,1,"cyan","cyan",0,5.32859680284192,5.71786310517529,0,4.47511501463823,6.59976842917792
"female",917,0,61479,241.157142857143,23,1,1,"cyan","cyan",0,0,0,0,3.88958594730238,3.8209185642609
"brand",0,0,42951,84.3167658730159,27,0.6838,1,"cyan","cyan",121.298747132522,0,0,0,0,0
"brand",0,0,47201,79.3154761904762,31,1,1,"cyan","cyan",121.298747132522,0,0,0,0,0
"female",252,0,3736,42.6540674603175,3,1,1,"cyan","cyan",0,0,0,0,0,0
"female",2150,0,117911,279.692757936508,40,1,1,"indeterminado","green",0,5.09177027827117,0,0,0,0
"female",3467,0,2451,43.8665674603175,2,1,1,"indeterminado","cyan",0,0,0,0,0,0
"male",4437,0,4927,54.9474206349206,4,1,1,"cyan","cyan",0,0,0,0,0,0
"brand",0,0,15593,101.893353174603,9,0.6744,1,"cyan","cyan",0,0,0,0,0,0
"brand",313,0,944,234.036408730159,0,1,1,"cyan","cyan",0,0,0,0,0,0
"male",2474,0,7700,131.493650793651,4,1,1,"cyan","cyan",0,0,0,0,0,0
"female",4,0,38324,324.534920634921,12,0.6629,1,"cyan","cyan",1.23522145756132,0,3.83973288814691,0,0,0
"male",0,0,12190,450.754166666667,3,1,1,"yellow","blue",0,0,0,0,0,0
"female",0,0,1353,338.565178571429,0,1,1,"red","cyan",2.45279689430034,12.2557726465364,13.1051752921536,4.64384100747737,13.4671685487244,17.2906213817059
"female",7911,0,10197,98.684623015873,6,0.6626,1,"cyan","cyan",0,0,3.67278797996661,0,11.3759933082392,4.09108452335006
"male",22,0,2057,41.0093253968254,2,0.677,1,"cyan","cyan",1.58814187400741,4.38129070455891,0,0,0,0
"brand",0,0,5894,1.4702380952381,6,1,1,"indeterminado","green",0,0,0,0,0,0
"female",4897,1,5153,74.993253968254,3,1,1,"red","indeterminado",0,0,0,0,0,0
"female",145,0,1552,272.70625,1,1,1,"cyan","cyan",0,0,0,0,0,0
"male",316,0,2541,360.986111111111,1,1,1,"cyan","cyan",1.57049585318511,11.4860864416815,10.2253756260434,0,0,3.58934774218449
"male",1854,0,5059,215.97123015873,2,1,1,"indeterminado","red",0,0,0,0,0,0
"male",32145,0,88632,245.019543650794,33,1,1,"cyan","cyan",0,0,0,0,0,0
"brand",3,0,391,53.1973214285714,0,1,1,"indeterminado","red",0,0,0,0,0,0
"brand",5,0,33895,2.9827380952381,34,1,1,"indeterminado","cyan",0,0,0,0,0,0
"female",5240,0,22860,261.969742063492,8,1,1,"cyan","cyan",0,0,0,0,0,0
"male",1282,0,3240,137.759126984127,2,1,1,"cyan","cyan",0,0,0,0,0,0
"male",8,0,125037,204.47619047619,52,0.6645,1,"cyan","cyan",0,0,0,0,0,0
"female",48,0,7354,197.099206349206,3,0.6783,1,"red","red",0,0,0,0,0,0
"male",6169,0,30259,229.847916666667,12,0.3541,1,"cyan","cyan",0,0,0,0,0,0
"female",8670,0,69065,244.124107142857,26,1,1,"red","cyan",0,0,0,0,0,0
"male",69,0,3381,87.0209325396825,2,1,1,"red","cyan",0,0,0,15.2695789059425,11.7105813467169,4.36125048243921
"male",562,0,8382,115.734325396825,5,1,1,"cyan","cyan",0,5.32859680284192,5.71786310517529,5.23415977961433,7.90464240903388,5.21034349671941
